"Street1" "quarter" "pop.1855" "pop_1850" "street" "male.sick" "female.sick" "male.dead" "female.dead" "street.index" "start.date" "end.date"
"105" "Ny Vestergade" "Vester" 240 "256" "Ny Vestergade" 0 0 0 0 199 "03-07-1853" "09-07-1853"
"106" "Ny Østergade" "Nyboder" 184 "184" "Nyøstergade" 0 0 0 0 1 "03-07-1853" "09-07-1853"
"107" "Nybrogade" "Snarens" 264 "406" "Nybrogade" 0 0 0 0 151 "03-07-1853" "09-07-1853"
"108" "Nygade" "Nyboder" 200 "217" "Nygade" 0 0 0 0 12 "03-07-1853" "09-07-1853"
"109" "Nyhavn" "St. Annæ Øster" 804 "na" "Nyhavn, B.S." 1 0 0 0 50 "03-07-1853" "09-07-1853"
"110" "Nyhavn" "Øster" 393 "na" "Nyhavn, Charlottenb. Side" 0 0 0 0 150 "03-07-1853" "09-07-1853"
"111" "Nørregade" "Klædebo" 656 "na" "Nørregade" 0 0 0 0 173 "03-07-1853" "09-07-1853"
"112" "Nørregade" "Nørre" 958 "na" "Nørregade" 0 0 0 0 177 "03-07-1853" "09-07-1853"
"113" "Nørrevold og Nørrevoldgade" "Klædebo" 341 "na" "Nørrevold" 0 0 0 0 174 "03-07-1853" "09-07-1853"
"114" "Nørrevold og Nørrevoldgade" "Nørre" 949 "na" "Nørrevold" 1 0 0 0 175 "03-07-1853" "09-07-1853"
"115" "Nørrevold og Nørrevoldgade" "Rosenborg" 106 "na" "Nørrevold" 0 1 0 1 97 "03-07-1853" "09-07-1853"
"116" "Overgaden neden Vandet" "Christianshavn" 515 "494" "Overgaden neden Vandet" 0 0 0 0 71 "03-07-1853" "09-07-1853"
"117" "Overgaden over Vandet" "Christianshavn" 2458 "1874" "Overgaden oven Vandet" 0 3 0 1 72 "03-07-1853" "09-07-1853"
"118" "Pederhvitfeldstræde" "Klædebo" 537 "463" "Pederhvidtfeldstræde" 0 0 0 0 165 "03-07-1853" "09-07-1853"
"119" "Pedermadsensgang" "Kjøbmager" 594 "685" "Peder Madsens Gang" 0 0 0 0 107 "03-07-1853" "09-07-1853"
"120" "Philosophgangen eller Vestervoldgade" "Vester" 465 "390" "Philosophgangen" 0 0 0 0 200 "03-07-1853" "09-07-1853"
"121" "Pilestræde" "Kjøbmager" 1513 "1604" "Pilestræde" 0 2 0 2 99 "03-07-1853" "09-07-1853"
"122" "Pistolstræde" "Kjøbmager" 98 "na" "Pistolstræde" 0 0 0 0 108 "03-07-1853" "09-07-1853"
"123" "Prindsensgade" "Christianshavn" 1312 "1405" "Prindsensgade" 1 2 1 1 77 "03-07-1853" "09-07-1853"
"124" "Prindsensgade" "St. Annæ Vester" 1052 "1069" "Prindsensgade" 0 1 0 1 40 "03-07-1853" "09-07-1853"
"125" "Reverentsgade" "Øster" 95 "73" "Reverensgade" 0 0 0 0 147 "03-07-1853" "09-07-1853"
"126" "Rigensgade" "St. Annæ Vester" 1202 "718" "Rigensgade" 1 1 1 1 47 "03-07-1853" "09-07-1853"
"127" "Rosenborggade" "Klædebo" 424 "363" "Rosenborggade" 0 0 0 0 160 "03-07-1853" "09-07-1853"
"128" "Rosengade" "Nyboder" 802 "908" "Rosengade" 1 2 1 1 27 "03-07-1853" "09-07-1853"
"129" "Rosengade" "St. Annæ Vester" NA NA "Rosengade" 5 5 4 5 44 "03-07-1853" "09-07-1853"
"130" "Rosengaarden" "Klædebo" 547 "503" "Rosengaarden" 0 0 0 0 166 "03-07-1853" "09-07-1853"
"131" "Rævegade" "Nyboder" 283 "330" "Rævegade" 0 0 0 0 16 "03-07-1853" "09-07-1853"
"132" "Raadhuusstræde" "Snarens" 393 "418" "Raadhusstræde" 0 0 0 0 154 "03-07-1853" "09-07-1853"
"133" "Salviegade" "Nyboder" 140 "172" "Salviegade" 0 1 0 1 20 "03-07-1853" "09-07-1853"
"134" "Skindergade" "Frimands" 1037 "997" "Skindergade" 0 0 0 0 118 "03-07-1853" "09-07-1853"
"135" "Skindergade" "Klædebo" NA NA "Skindergade" 0 0 0 0 161 "03-07-1853" "09-07-1853"
"136" "Slippen og Landemærket" "Rosenborg" 1225 "1222" "Slippen og Landemærket" 0 1 0 0 91 "03-07-1853" "09-07-1853"
"137" "Smedensgang" "Øster" 101 "na" "Smedens Gang" 1 0 1 0 139 "03-07-1853" "09-07-1853"
"138" "Snaregade" "Snarens" 269 "298" "Snaregade" 0 0 0 0 152 "03-07-1853" "09-07-1853"
"139" "Sophiegade" "Christianshavn" 1021 "863" "Sophiegade" 0 1 0 1 76 "03-07-1853" "09-07-1853"
"140" "Springgade" "Rosenborg" 1426 "1480" "Springgade" 0 1 0 0 85 "03-07-1853" "09-07-1853"
"141" "Sqvaldergade" "Øster" 251 "100" "Sqvaldergade" 0 0 0 0 144 "03-07-1853" "09-07-1853"
"142" "St. Annægade" "Christianshavn" 836 "681" "St. Annægade" 0 0 0 0 70 "03-07-1853" "09-07-1853"
"143" "St. Annæplads" "St. Annæ Øster" 233 "345" "St. Annæ Plads" 0 0 0 0 52 "03-07-1853" "09-07-1853"
"144" "St. Gjertrudstræde" "Klædebo" 143 "na" "St. Gjertrudstræde" 0 0 0 0 171 "03-07-1853" "09-07-1853"
"145" "St. Gjertrudstræde" "Rosenborg" 232 "na" "St. Gjertrudstræde" 0 0 0 0 94 "03-07-1853" "09-07-1853"
"146" "St. Pederstræde" "Nørre" 2045 "2023" "St. Pederstræde" 0 0 0 0 178 "03-07-1853" "09-07-1853"
